Plant Height (cm),Leaf Area (cm²),Chlorophyll Content (SPAD units),Root Length (cm),Biomass (g),Flower Count (number),Seed Yield (g),Stomatal Conductance (mmol/m²/s)
45.39 ± 0.78 c,136.79 ± 2.32 c,33.02 ± 0.62 c,18.52 ± 0.26 c,9.29 ± 0.16 c,13.86 ± 0.21 c,4.68 ± 0.07 c,187.67 ± 3.29 c
74.39 ± 1.81 b,227.23 ± 5.95 b,52.17 ± 1.18 b,28.84 ± 0.77 b,14.77 ± 0.38 b,22.76 ± 0.55 b,7.66 ± 0.18 b,294.33 ± 7.03 b
63.78 ± 1.30 a,186.68 ± 3.22 a,41.76 ± 0.88 a,24.84 ± 0.37 a,12.12 ± 0.27 a,18.39 ± 0.30 a,6.32 ± 0.11 a,249.19 ± 4.95 a
0.0000***,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***
